Country,Year,Drought,Flood,Earthquake,Extreme weather,Extreme temperature,Volcanic activity,Wildfire,Glacial lake outburst flood,Dry mass movement,Wet mass movement,Fog
Asia,1923,3000000,36,178,0,0,0,0,0,0,0,0
Asia,1923,1500000,0,3153,101000,0,0,0,0,0,0,0
Asia,1923,1900000,990,6753,5000,0,0,0,0,0,0,0
Asia,1923,0,2000,400,4430,0,0,0,0,0,0,0
Asia,1923,0,968257,650,9065,0,0,0,0,0,40,0
Asia,1923,0,788,155,10100,0,0,0,0,0,108,0
Asia,1923,500000,513,91,59265,100,355,0,0,0,0,0
Asia,1923,508000,1140,2525,1295,0,1088,0,0,0,64,0
Asia,1923,500000,1055,596,1835,0,0,0,0,0,0,0
Asia,1923,0,7169,11280,1408,0,3,0,0,0,1022,0
Asia,1923,0,490,3167,2101,0,0,0,0,0,0,0
Asia,1924,0,1875,11302,304265,0,0,0,0,0,84,0
Asia,1924,0,1337,936,10598,0,0,0,0,0,100,0
Asia,1924,0,2196,5168,1005,0,0,0,0,0,285,0
Asia,1924,0,964,14,4098,261,0,0,0,0,0,0
Asia,1924,0,29087,24730,3318,0,0,0,0,0,44,0
Asia,1924,0,20644,4432,822,14,0,0,0,0,155,0
Asia,1924,0,738,253038,936,0,40,0,0,0,242,0
Asia,1924,0,1835,1332,15146,0,3,0,0,0,27,0
Asia,1924,63,5639,25098,3265,150,0,0,0,0,86,0
Asia,1924,18,453,1245,908,470,257,0,0,0,295,0
Asia,1924,0,10101,165,1064,129,0,0,0,50,290,0
Asia,1924,0,4637,3912,3528,300,192,0,0,0,240,0
Asia,1925,280,2457,2140,1681,400,30,0,0,0,394,0
Asia,1925,0,1450,1549,3052,0,0,0,0,297,391,0
Asia,1925,230,2548,53,3437,290,0,0,0,0,161,0
Asia,1925,0,3216,107,16687,328,0,0,0,300,60,0
Asia,1925,84,1334,35,1685,2,0,0,0,0,200,0
Asia,1925,300,5468,131,2489,140,0,0,0,131,135,0
Asia,1925,1400,7006,2033,2524,450,7,0,0,50,849,0
Asia,1925,0,4272,263,3964,297,0,0,0,45,217,0
Asia,1925,0,1685,42593,4129,583,33,0,0,73,51,0
Asia,1925,2000,5114,2021,146055,707,683,0,0,0,258,0
Asia,1925,0,4990,3280,1174,368,0,0,0,323,633,0
Asia,1925,0,4934,10013,2372,0,83,0,0,72,762,0
Asia,1925,0,5117,717,2383,294,96,0,0,0,267,0
Asia,1925,0,6415,5561,3162,678,0,0,0,0,1305,0
Asia,1925,0,7537,528,4006,232,0,0,0,0,774,0
Asia,1925,672,4036,2941,4791,173,1,0,0,0,421,0
Asia,1925,8,9664,7283,5016,2761,0,0,0,0,600,0
Asia,1926,5,3438,20456,11402,151,0,0,0,0,236,0
Asia,1926,51,4220,205,929,370,0,0,0,11,769,0
Asia,1926,59,3004,20031,1626,538,0,0,0,0,636,0
Asia,1926,49,3010,1554,851,2357,0,0,0,0,697,0
Asia,1926,36,2855,27301,621,2137,0,0,0,0,432,0
Asia,1926,0,4557,76213,1310,598,0,0,0,0,585,0
Asia,1926,134,4012,6684,4200,286,0,0,0,11,1574,0
Asia,1926,0,7010,119,4925,356,6,0,0,0,235,0
Asia,1926,0,2758,87845,139788,1568,0,0,0,0,418,0
Asia,1926,0,2536,1365,2825,227,0,0,0,0,424,0
Asia,1926,0,6170,3597,850,622,323,0,0,0,2570,0
Asia,1926,0,3845,20748,2132,354,3,0,0,0,243,0
Asia,1926,0,2274,638,2584,189,0,0,0,16,401,0
Asia,1926,0,8580,1109,7984,1198,0,0,0,46,192,0
Asia,1926,0,2580,740,1147,409,102,0,0,0,808,0
Asia,1926,11,2089,9528,688,3516,0,0,0,13,530,0
Asia,1926,0,3283,313,777,421,0,0,0,0,282,0
Asia,1926,0,2650,511,1551,264,0,0,0,0,648,0
Asia,1926,0,2007,4861,1324,427,453,0,0,17,82,0
Asia,1926,77,3703,205,649,335,0,0,0,0,250,0
Asia,1926,0,4772,171,885,3,1,0,0,0,381,0
Asia,1926,0,3197,163,1265,0,71,0,250,0,181,0
Asia,1926,0,4947,1605,736,111,0,0,0,0,159,0
Asia,1927,0,2696,59482,423,380,23,0,178,0,227,0
Asia,1927,0,1379,60,0,0,0,0,0,0,0,0
Asia,1927,0,100000,1162,1000,0,1335,0,0,0,0,0
Asia,1927,0,0,170,0,0,0,0,0,0,0,0
Asia,1927,0,0,16854,4000,0,0,0,0,0,0,0
Asia,1927,0,0,0,2700,0,144,0,0,0,0,0
Asia,1927,0,3700000,12890,0,0,1300,0,0,0,0,0
Asia,1927,0,18000,13200,0,0,0,0,0,0,0,0
Asia,1927,0,142000,67412,60100,0,0,0,0,0,0,0
Asia,1927,0,933,149,305,0,0,0,0,0,0,0
Asia,1927,0,500000,33062,0,0,0,0,0,0,0,0
Asia,1927,0,662,6313,2668,0,0,0,0,0,500,0
Asia,1927,0,57000,341,2617,0,0,0,0,0,0,0
Asia,1927,0,3724,1556,599,0,84,0,0,0,0,0
Asia,1928,0,5331,139,2055,0,1800,0,0,0,0,0
Asia,1928,0,4893,2218,1346,669,0,0,0,0,0,0
Asia,1928,0,34406,2013,2253,0,37,0,0,0,30,0
Asia,1928,0,440,451,2534,0,0,0,0,0,478,0
Asia,1928,0,3609,699,2575,0,0,0,0,0,170,0
Asia,1928,0,2282,6797,644,0,0,0,0,0,0,0
Asia,1928,0,5,199,2481,651,0,0,0,0,52,0
Asia,1928,0,483950,16,8598,0,0,0,0,0,48,0
Asia,1928,0,562719,70,11675,400,0,0,0,0,0,0
Asia,1928,0,534,12000,1256,0,0,0,0,0,0,0
Asia,1928,0,362,15,22525,0,1690,0,0,150,116,0
Asia,1928,0,3104,226336,2996,448,2,0,0,44,361,0
Asia,1928,0,112,308,19,35,0,0,0,0,270,0
Asia,1928,0,0,18,0,0,0,0,0,0,0,0
Asia,1928,0,0,2500,600,0,125,0,0,0,0,0
Asia,1928,0,0,6630,0,0,0,0,0,0,0,0
